column,feature_importance
dating_year_w2v=000,373.5105629513661
dating_year_w2v=016,372.80477635065716
agg_palette_min_color_b,371.66489621375996
dating_year_w2v=025,370.12064078450203
long_title_SVD256=212,368.8507643093665
concat_title_SVD256=244,368.38258870442706
description_SVD256=124,368.16701990862686
long_title_SVD256=086,366.5420983905594
agg_max_min_dating_sorting_date_grpby_principal_maker,366.4948102434476
concat_title_SVD256=045,364.1660733918349
title_SVD256=242,362.9641974742214
long_title_SVD256=063,362.86332231014967
title_SVD256=077,361.63054190079373
description_SVD256=086,361.62401357044774
description_SVD256=123,361.0919125874837
agg_palette_median_color_b,360.28825065493584
agg_min_dating_sorting_date_grpby_art_series_id,360.23590903480846
long_title_SVD256=033,359.32911173005897
dating_year_w2v=011,358.8254306117694
concat_title_SVD256=053,358.28023595114547
agg_std_dating_sorting_date_grpby_principal_maker,358.1220460832119
dating_year_w2v=045,358.00776533906657
long_title_SVD256=192,356.99963723619777
more_title_SVD256=051,354.8791551639636
agg_mean_agg_palette_sum_color_g_grpby_principal_maker,354.5887177238862
description_SVD256=027,353.65516150991124
description_SVD256=199,352.10612936069566
long_title_SVD256=209,350.7922699376941
description_SVD256=219,350.71788586427766
concat_title_SVD256=158,350.0093662167589
long_title_SVD256=119,349.6680176096658
concat_title_SVD256=030,349.36448921014863
title_SVD256=168,349.13501279552776
agg_max_min_ratio_palletSumColorG_SubTitleH*W*T*D_grpby_art_series_id,348.4972107410431
more_title_SVD256=029,348.3597331692775
long_title_SVD256=130,348.08435742060345
more_title_SVD256=183,347.4677489499251
concat_title_SVD256=159,346.8200205862522
description_SVD256=159,346.69747612128657
tec_pro_w2v=060,346.1004642024636
more_title_SVD256=201,345.88159880042076
description_words_vs_unique,345.7992894599835
description_SVD256=238,343.94224241872627
description_SVD256=116,343.5476449926694
description_SVD256=031,343.01945898930234
title_SVD256=075,342.9282304992278
more_title_SVD256=176,342.48225653419894
concat_title_SVD256=011,341.89345534642536
concat_title_SVD256=027,341.1196170995633
concat_title_SVD256=054,340.5459459424019
title_SVD256=006,340.37820507834357
title_SVD256=251,340.068171073993
more_title_SVD256=006,339.915789509813
dating_year_w2v=059,339.56185220678645
long_title_SVD256=239,338.94087234636146
title_SVD256=133,337.9727119579911
agg_z-score_agg_palette_sum_color_r&g_grpby_principal_maker,337.3810610547662
description_SVD256=190,336.78628830611706
long_title_SVD256=197,335.7934028754632
description_SVD256=077,335.52148683617514
description_SVD256=225,335.4586551338434
dating_year_w2v=024,335.4075269550085
title_SVD256=030,335.16019855936366
hist_col_tec_w2v=035,334.48005711038905
concat_title_SVD256=176,334.0156520754099
title_SVD256=082,333.0242968276143
description_SVD256=168,332.40993186831474
more_title_SVD256=226,332.3485699594021
title_SVD256=115,331.50662651161355
description_SVD256=052,331.2413443649809
more_title_SVD256=037,330.789540934066
more_title_SVD256=165,330.5738676674664
concat_title_SVD256=164,330.15949842830497
more_title_SVD256=222,329.52515266338986
hist_mat_col_tech_pro_acq_w2v=042,328.59860850994784
description_num_unique_words,327.98740923901397
long_title_SVD256=108,326.93698426584405
description_SVD256=209,325.8604379122456
description_SVD256=110,325.5902909114957
agg_z-score_ratio_palletSumColorB_SubTitleH*W*T*D_grpby_principal_maker,325.5355442961057
more_title_SVD256=164,325.2742654482524
agg_std_agg_palette_sum_color_r&b_grpby_principal_maker,325.13243044912815
description_SVD256=244,324.8785357202093
description_SVD256=049,323.9616843486826
title_SVD256=249,323.88066413998604
more_title_SVD256=194,323.21805342286825
concat_title_SVD256=014,323.1763805920879
agg_min_agg_palette_sum_color_r&g_grpby_principal_maker,323.04495751361054
concat_title_SVD256=036,322.9146590381861
concat_title_SVD256=038,322.6791381066044
more_title_SVD256=052,322.51154661426943
description_SVD256=025,322.0433916648229
concat_title_SVD256=062,321.8848445589344
agg_mean_diff_dating_year_late2early_grpby_principal_maker,321.71779896815616
long_title_SVD256=205,321.57528435190517
more_title_SVD256=096,320.7078522096078
description_SVD256=000,320.48657172421616
description_SVD256=220,319.7741796076298
concat_title_SVD256=001,319.4042506317298
description_SVD256=051,319.20603215446073
concat_title_SVD256=000,318.93191721787053
title_SVD256=221,318.63338653743267
concat_title_SVD256=075,318.3275564511617
agg_z-score_ratio_palletSumColorR_SubTitleH*W*T*D_grpby_art_series_id,318.30159030358
hist_mat_col_tech_pro_acq_w2v=041,317.9227086218695
title_SVD256=194,317.6837693403165
long_title_SVD256=185,315.40295281261206
concat_title_SVD256=130,315.26160317162675
more_title_SVD256=035,315.2546103745699
concat_title_SVD256=238,314.76251912117004
description_SVD256=004,314.56426385293406
title_SVD256=039,314.12274949252605
more_title_SVD256=193,313.09462890028954
dating_year_w2v=002,312.3479219501217
more_title_SVD256=217,312.3224303449194
agg_palette_max_color_r&g,310.8771500438452
more_title_SVD256=148,310.7282488842805
description_SVD256=072,310.5711337861915
long_title_SVD256=020,310.46085499227047
agg_palette_mean_color_b,310.22332794964314
title_SVD256=064,310.1350196301937
long_title_SVD256=191,309.9000997742017
dating_year_w2v=046,309.1013569583495
concat_title_SVD256=237,308.99529657512903
mat_tec_pro_w2v=022,308.7334569791953
concat_title_SVD256=165,308.67943687240285
more_title_SVD256=040,308.1866618891557
concat_title_SVD256=163,307.453595161438
description_SVD256=154,306.4994715601206
more_title_SVD256=099,306.1988004744053
long_title_SVD256=176,305.7292425110936
concat_title_SVD256=022,305.2517302632332
more_title_SVD256=210,304.4688959866762
dating_year_w2v=019,304.38384055097896
title_SVD256=208,304.04801331460476
description_SVD256=091,304.0173213680585
long_title_SVD256=181,303.3617720479767
agg_max_min_ratio_palletSumColorR_SubTitleH*W*T*D_grpby_art_series_id,303.23580863078433
concat_title_SVD256=129,303.14212654779357
more_title_SVD256=220,303.0846959501505
long_title_SVD256=221,302.6574682941039
long_title_SVD256=135,302.48950990537804
concat_title_SVD256=247,302.1310137634476
more_title_SVD256=010,302.07400325934094
more_title_SVD256=009,301.248162522912
agg_max_dating_sorting_date_grpby_principal_maker,300.9367153644562
description_SVD256=009,300.50917623440426
more_title_SVD256=066,300.18719315032166
prod_palletMeanColorB_SubTitleH*W,299.7122610112031
dating_year_w2v=030,299.5266361484925
agg_min_agg_palette_sum_color_r_grpby_art_series_id,299.349563938876
concat_title_SVD256=107,299.1022868305445
description_SVD256=062,299.0184395449857
description_SVD256=032,298.95570190250874
dating_year_w2v=005,298.8360627392928
tec_pro_w2v=031,298.72375972444814
long_title_SVD256=101,298.3494623750448
dating_year_w2v=043,298.0236892228325
title_SVD256=062,297.393902502954
dating_year_w2v=029,297.3013526548942
concat_title_SVD256=052,297.22790638605755
description_SVD256=216,296.99091374874115
more_title_SVD256=161,296.5199811384082
agg_nunique_dating_sorting_date_grpby_principal_maker,296.17452135682106
concat_title_SVD256=029,294.8669981385271
title_SVD256=184,294.5513287310799
concat_title_SVD256=212,294.52854984502
concat_title_SVD256=226,293.6417753870289
description_words_vs_chars,293.61995497345924
long_title_SVD256=160,293.328798909982
more_title_SVD256=139,292.80282429233193
description_SVD256=024,292.6199788575371
dating_year_w2v=041,292.6043863346179
concat_title_SVD256=170,292.02130255351466
more_title_SVD256=160,291.88379045079154
hist_mat_col_tech_pro_acq_w2v=057,291.040628362447
description_SVD256=210,291.0283733208974
long_title_SVD256=094,290.77680818736553
concat_title_SVD256=123,290.2663031220436
agg_min_sub_title_h*w_grpby_art_series_id,290.02883551518124
long_title_SVD256=250,289.86857741326094
hist_mat_col_tec_pro_w2v=004,289.62784461677074
long_title_SVD256=035,289.38422980407876
more_title_SVD256=255,289.29043507079285
concat_title_SVD256=051,289.28237314522266
title_SVD256=178,289.2302442838748
description_SVD256=080,288.8884475206335
description_SVD256=065,288.6559360375007
ratio_datingPeriod_durationSurvival,288.2088452130556
description_SVD256=253,288.1764791284998
hist_mat_col_tech_pro_acq_w2v=003,287.94312663997215
more_title_SVD256=151,287.8982176333666
sub_title_words_vs_unique,287.1872200978299
description_SVD256=164,287.0300541321437
long_title_SVD256=024,286.62307578573626
concat_title_SVD256=100,286.52075806011754
long_title_SVD256=235,285.96775281180936
description_SVD256=005,285.69717987875146
concat_title_SVD256=250,285.65285013616085
more_title_SVD256=089,285.5013205707073
dating_year_w2v=008,285.0457201351722
description_SVD256=131,284.1494529743989
long_title_SVD256=014,282.52682941034436
concat_title_SVD256=232,281.8709895436962
date_of_birth,281.7690341596802
long_title_SVD256=104,281.46925283720094
more_title_SVD256=027,281.4329059571028
long_title_SVD256=141,281.26699757079285
long_title_SVD256=076,280.90405039737624
concat_title_SVD256=254,280.31793996691704
concat_title_SVD256=188,279.6783114299178
dating_year_w2v=036,279.532749808083
concat_title_SVD256=042,279.5295189159612
more_title_SVD256=114,279.4921192725499
concat_title_SVD256=186,278.9081218565504
long_title_SVD256=059,278.75409916291636
long_title_SVD256=045,278.5263079156478
dating_year_w2v=027,277.98604835321504
agg_min_agg_palette_sum_color_g_grpby_art_series_id,277.93325387934846
description_SVD256=205,277.8681721140941
title_SVD256=036,277.7465957229336
concat_title_SVD256=233,277.2747258245945
col_tec_pro_w2v=006,276.5409019043048
description_SVD256=242,276.3835836350918
more_title_SVD256=067,275.8565098444621
long_title_SVD256=112,275.80360979338485
dating_year_w2v=026,275.31147810071707
agg_palette_median_color_r,275.2607073883216
dating_year_w2v=001,274.96496750662726
concat_title_SVD256=229,274.9080594653885
hist_mat_col_tech_pro_acq_w2v=005,273.9223169597487
description_SVD256=101,273.8801324715217
long_title_SVD256=010,273.36751943454146
title_SVD256=138,272.94234750419855
long_title_SVD256=133,272.92743924756843
title_SVD256=202,272.6590095969538
concat_title_SVD256=213,272.36404251058894
concat_title_SVD256=106,272.0896583497524
concat_title_num_chars,271.90846890211105
concat_title_SVD256=018,271.760111818711
more_title_SVD256=018,271.5048588812351
dating_year_w2v=028,271.3665042221546
more_title_SVD256=229,270.9655421351393
concat_title_SVD256=065,270.81265128528077
long_title_SVD256=097,270.71883336330455
mat_tec_pro_w2v=026,270.1878972798586
description_SVD256=178,269.38043164958555
title_SVD256=050,269.2450564801693
agg_max_min_ratio_palletSumColorB_SubTitleH*W*T*D_grpby_principal_maker,269.16861152648926
mat_tec_w2v=060,268.59882628917694
long_title_SVD256=111,268.42204863329727
agg_std_agg_palette_sum_color_r&g_grpby_principal_maker,268.0955680633585
concat_title_SVD256=105,267.7848024815321
more_title_SVD256=179,267.652858607471
long_title_SVD256=220,267.0389287744959
long_title_SVD256=100,266.50245703260106
title_SVD256=026,266.4324718167384
long_title_SVD256=233,266.23182519276935
long_title_SVD256=201,265.4648156265418
description_SVD256=059,265.4338842580716
more_title_SVD256=250,264.61980510503054
title_SVD256=233,263.9132699618737
dating_year_w2v=034,263.55889208614826
dating_year_w2v=048,263.4504091689984
more_title_SVD256=166,263.3731487666567
long_title_SVD256=011,263.3495267778635
description_SVD256=104,263.3011379142602
more_title_SVD256=178,263.0288626464705
long_title_SVD256=218,262.91281193494797
agg_std_agg_palette_sum_color_g_grpby_principal_maker,262.55792533854645
col_tec_pro_w2v=030,262.224446768562
concat_title_num_punctuation,261.9111734579007
long_title_SVD256=142,261.2425810272495
description_SVD256=068,260.9607628708084
title_SVD256=252,260.94442717234296
long_title_SVD256=002,260.815924252073
more_title_SVD256=012,260.62544024487335
more_title_SVD256=186,260.55140135685605
col_tec_pro_w2v=034,260.0122671773036
title_SVD256=248,259.56197328617174
more_title_SVD256=064,259.21873445312184
concat_title_SVD256=116,258.80400538196164
long_title_SVD256=058,258.7314309105277
more_title_SVD256=234,258.18537741402787
concat_title_SVD256=068,258.15152865151566
more_title_SVD256=137,258.08978597074747
agg_max_agg_palette_sum_color_r&g_grpby_principal_maker,257.7493957132101
concat_title_SVD256=191,257.5322616497676
dating_year_w2v=022,257.4848581900199
long_title_SVD256=028,257.39901808897656
concat_title_SVD256=120,257.06266325712204
description_SVD256=060,256.95870744188625
agg_palette_max_color_g,256.6668434416254
concat_title_SVD256=069,256.63410648703575
more_title_SVD256=216,256.46337843810517
description_SVD256=181,256.28714673717815
long_title_SVD256=214,255.93776305268207
dating_year_w2v=055,255.81791918476424
more_title_SVD256=053,255.66463679571947
dating_year_w2v=049,254.72775723040104
concat_title_SVD256=024,254.72466030716896
long_title_SVD256=216,254.51942398150763
CE_acquisition_method,253.94263519346714
description_SVD256=197,253.9317385951678
description_SVD256=241,253.68137174348036
concat_title_SVD256=230,253.31018377343813
concat_title_SVD256=153,253.17266180862984
dating_year_w2v=010,253.12738631169
concat_title_SVD256=019,252.92151937137047
